Greek,English
στιγμή,dot
κάποιον,someone
λάθος,error
οπότε,so
πράγμα,thing
έχετε,you have got
χρόνο,time
είπες,you said
δυο,two
γίνει,becomes
εσένα,you
κάποια,some
ως,as
περίμενε,wait
πρόβλημα,problem
παιδί,child
ειναι,is
ήσουν,you were
πραγματικά,really
πάλι,again
άλλη,other
απο,from
έκανες,you did
οχι,no
όλο,all
χρειάζεται,he needs
βλέπω,I see
μητέρα,mother
υπάρχουν,there are
πιστεύω,believe
κυρία,Lady
δικό,own
ίδιο,same
φίλε,friend
γρήγορα,quickly
στους,to
πάρει,picks up
σίγουρα,for sure
πάρω,take
αρκετά,enough
μπαμπά,dad
ιδέα,idea
όλη,all
εσείς,you
λένε,they say
λεφτά,money
γίνεται,becomes
νέα,news
λέω,I say
ξέρει,knows
πήγαινε,go
νομίζεις,you think
φορές,times
δει,see
μάλλον,rather
ήδη,already
είδα,I saw
σημαίνει,means
εμείς,we
ακόμη,yet
όλους,everyone
πατέρας,father
οτι,that
κάνουν,they do
καιρό,Cairo
προς,to
εκτός,except
κόσμο,people
βράδυ,night
μωρό,baby
συγνώμη,Sorry
όνομα,name
πατέρα,father
βλέπεις,you see
χαρά,joy
αύριο,tomorrow
μπορούσα,I could
σταμάτα,stop
μπορείτε,you can
μόνος,single
αυτές,they
νόμιζα,I thought
αγάπη,love
πρόκειται,it is about
τελευταία,last
άνθρωποι,people
πρώτη,first
πει,say
μεγάλη,great
τί,what
καταλαβαίνω,I understand
ήξερα,I knew
δίκιο,right
απόψε,tonight
κανένα,none
συνέβη,happened
μακριά,away
τέλος,end
ποιο,wich one
μπορούσε,could
απλώς,simply
αμέσως,immediately
ξανά,again
πότε,never
τρόπο,way
πάρε,take
θέση,position
μήπως,maybe
αυτοί,these
ξέρετε,You know
αυτούς,them
ήρθε,he came
εαυτό,himself
δική,trial
ποια,which
αυτήν,her
μάλιστα,in fact
κάνετε,you are doing
περισσότερο,more
κατά,against
πόλη,city
πια,any longer
κορίτσι,girl
θέλετε,Would you like
κάποιο,something
λεπτό,"minute, thin"
κοντά,close
χρειάζομαι,need
θέμα,theme
μιλήσω,speak
μέρες,days
είχες,had
τύπος,type
λεπτά,minutes
επίσης,also
χέρια,hands
εκείνη,she
έρθει,come
βρω,find
τέτοιο,such
μερικές,a few
πειράζει,tease
βοήθεια,aid
εννοώ,mean
άνθρωπος,person
μεγάλο,large
βρούμε,find
ανθρώπους,people
δεις,See
καθόλου,not at all
εννοείς,you mean
ορίστε,here you go
αφού,after
πέρα,beyond
όπλο,weapon
σίγουρος,sure
ιστορία,history
πήρε,got
δούμε,see
πρωί,morning
ήθελε,wanted
ελπίζω,hope
πόρτα,door
μάτια,eyes
κάνε,make
δρόμο,road
όλες,all
πιστεύεις,you believe
ομάδα,club
μπροστά,in front
κακό,bad
καλύτερο,better
σχέση,relationship
καλός,good
μόνη,only
ώρες,hours
αστυνομία,police
φύγω,leave
θυμάσαι,you remember
ευκαιρία,opportunity
λόγο,reason
διάολο,hell
βοηθήσω,help
χέρι,hand
αμάξι,cab
ώστε,in order that
νύχτα,night
χαίρομαι,I am glad
κεφάλι,head
πήγε,went
φύγε,go away
ξέρουμε,we know
γραφείο,office
βρήκα,I found
καν,even
τέλεια,perfect
γαμώτο,fucking
άλλα,but
ελάτε,come
δωμάτιο,room
μιλάς,you talk
ίδια,itself
δώσε,give
κόρη,daughter
φίλος,friend
όπου,where
κανέναν,none
αγαπώ,love
πρώτα,first
ψέματα,lies
οικογένεια,family
καμία,none
πάρεις,take
χρήματα,money
δηλαδή,ie
ανησυχείς,worried
αγόρι,boy
τρεις,three
ενός,of a
πέθανε,passed away
ωραίο,nice
σοβαρά,seriously
αλλιώς,otherwise
είχαμε,we had
άντρας,man
τουλάχιστον,at least
έρχεται,comes
πάνε,they go
μικρό,small
καρδιά,heart
πήρα,I took
δύσκολο,difficult
φύγουμε,We leave
πούμε,say
τηλέφωνο,phone
λέμε,we say
αργότερα,later
εάν,if
νερό,water
σχεδόν,almost
τέτοια,such
είδες,saw
κάπου,somewhere
μεταξύ,between
χθες,yesterday
νιώθω,I feel
ποιός,who
αντίο,Goodbye
υπόθεση,case
πέντε,five
δώσω,give
μήνες,months
μυαλό,mind
τρία,three
θυμάμαι,I remember
συμβεί,happen
κόσμος,world
θέλουν,want
ενα,one
αίμα,blood
μικρή,small
ρε,Hey
πάρα,despite
σχολείο,school
τρόπος,way
σύντομα,soon
γυναίκες,women
καμιά,none
βέβαια,sure
μπορούν,they can
υποθέτω,I assume
θέλουμε,we want
σκατά,shit
ήθελες,you wanted
μπαμπάς,Daddy
είχαν,they had
άλλος,other
μιλήσουμε,talk
αυτο,this
αργά,late
εμάς,us
μερικά,a few
άντρες,men
φίλοι,friends
τρέχει,is running
συνέχεια,Continuity
φυλακή,prison
σκέφτηκα,I thought
φύγει,go
ήρθες,you came
πείτε,say
εκείνο,that
αφήσω,leave
όσα,as many as
ήρθα,I came
νεκρός,dead
πλάκα,plate
έρθεις,come
ποιον,whom
σημασία,meaning
γύρω,round
βρεις,find
παιχνίδι,game
καλημέρα,good morning
χάρη,grace
καταλαβαίνεις,you understand
έλεγα,I was saying
κατάλαβα,Understood
σκοτώσει,kill
ελα,come
σημαντικό,important
άσε,lean
πολλές,a lot
πάρουμε,take
όνομά,name
συγχωρείτε,Excuse
φύγεις,you go away
άντρα,man
κατάσταση,condition
σκότωσε,killed
εσάς,you
φαγητό,food
φοβάμαι,I'm afraid
κορίτσια,girls
ηταν,it was
κοπέλα,girl
βασικά,basically
εμπρός,front
λόγος,reason
αυτοκίνητο,car
κανένας,no one
ζωής,life
πρώτο,first
γονείς,parents
απόδοση,rendering
άλλους,others
θεός,god
αστείο,funny
γλυκιά,sweet
πεθάνει,dies
νοιάζει,care
μείνε,stay
έφυγε,left
ενώ,while
σχέδιο,plan
υπήρχε,there was
δολάρια,dollars
έτοιμος,ready
τύχη,luck
αρχή,principle
πόδια,legs
έρθω,come
άσχημα,bad
οποίο,of which
σωστό,right
όμορφη,beautiful
σίγουρη,confident
τo,the
νέο,new
τελικά,after all
άκουσα,I heard
προσπαθώ,try
βοηθήσει,help
εχω,I have
μοιάζει,it looks like
φίλους,friends
περίπου,about
μπορούσες,you could
αφεντικό,boss
χρειαζόμαστε,we need
δύναμη,power
κάναμε,we did
καλύτερη,better
μείνει,stay
γειά,Hello
γη,Earth
έδωσε,gave
βρήκες,did you find
περίπτωση,case
γιος,son
ραντεβού,appointment
ακούγεται,sounds
πάρτι,party
επόμενη,next
φέρω,bring
κύριοι,gentlemen
ακούω,I hear
καλώς,well
περάσει,pass
περιμένω,I am waiting
μισό,a half
επιλογή,selection
